h,w,output,type,metric,n_h,n_w,n_output,n_type,count
454,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,454,0,0.0,String,1
446,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,446,0,0.0,String,1
436,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,436,0,0.0,String,1
394,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,394,0,0.0,String,1
373,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,373,0,0.0,String,1
372,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,372,0,0.0,String,1
322,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,322,0,0.0,String,1
307,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,307,0,0.0,String,1
287,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,287,0,0.0,String,1
276,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,276,0,0.0,String,1
264,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,264,0,0.0,String,1
251,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,251,0,0.0,String,1
247,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,247,0,0.0,String,1
246,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,246,0,0.0,String,1
235,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,235,0,0.0,String,2
232,54,10.0,String,1.0,233,54,9.9,String,1
224,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,224,0,0.0,String,1
219,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,219,0,0.0,String,1
213,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,213,0,0.0,String,1
184,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,184,0,0.0,String,1
182,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,182,0,0.0,String,1
174,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,174,0,0.0,String,1
157,24,9.7,String,1.0,157,25,10.1,String,1
157,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,157,0,0.0,String,1
154,23,9.7,String,1.0,154,24,10.1,String,1
153,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,153,0,0.0,String,1
151,2283038810,1001288895.2,String,1.0,152,2283038810,988157379.7,String,1
150,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,150,0,0.0,String,1
148,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,148,0,0.0,String,1
142,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,142,0,0.0,String,1
137,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,137,0,0.0,String,1
134,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,134,0,0.0,String,1
126,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,126,0,0.0,String,2
118,13,9.3,String,1.0,118,14,10.1,String,1
116,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,116,0,0.0,String,1
112,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,112,0,0.0,String,1
110,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,110,0,0.0,String,1
109,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,109,0,0.0,String,2
108,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,108,0,0.0,String,1
107,115,100.4,String,1.0,108,115,98.6,String,1
105,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,105,0,0.0,String,1
103,10,9.4,String,1.0,103,11,10.4,String,1
103,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,103,0,0.0,String,1
101,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,101,0,0.0,String,2
100,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,100,0,0.0,String,1
96,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,96,0,0.0,String,2
