year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
5054547779835,0,-246980,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,5054547779835,1,-246980,"ArgumentError(""Day: -246980 out of range (1:31)"")",ArgumentError,1
4517108541651,-1,1367,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,4517108541651,0,1367,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
4253111007131,0,-468909398,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,4253111007131,1,-468909398,"ArgumentError(""Day: -468909398 out of range (1:31)"")",ArgumentError,1
3418341935477,0,4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,26.0,3418341935477,1,4,3418341935477-01-04,Dates.Date,1
3271694806911,0,1353645940,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,3271694806911,1,1353645940,"ArgumentError(""Day: 1353645940 out of range (1:31)"")",ArgumentError,1
3039072025347,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,3039072025347,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
3028323311498,0,42,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,3028323311498,1,42,"ArgumentError(""Day: 42 out of range (1:31)"")",ArgumentError,1
3002359270798,0,98888,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,3002359270798,1,98888,"ArgumentError(""Day: 98888 out of range (1:31)"")",ArgumentError,1
2924458168895,-10,3,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,2924458168895,-9,3,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
2852832779922,-1,5,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,2852832779922,0,5,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
2378360762545,0,-15070328,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,2378360762545,1,-15070328,"ArgumentError(""Day: -15070328 out of range (1:31)"")",ArgumentError,1
2176808052841,0,17136,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,2176808052841,1,17136,"ArgumentError(""Day: 17136 out of range (1:31)"")",ArgumentError,1
2171717763404,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,26.0,2171717763404,1,7,2171717763404-01-07,Dates.Date,1
1982376596684,4,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,24.0,1982376596684,4,1,1982376596684-04-01,Dates.Date,1
1303655546271,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,26.0,1303655546271,1,7,1303655546271-01-07,Dates.Date,1
1284353801405,0,1939250789,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,1284353801405,1,1939250789,"ArgumentError(""Day: 1939250789 out of range (1:31)"")",ArgumentError,1
1084370875421,0,1564,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1084370875421,1,1564,"ArgumentError(""Day: 1564 out of range (1:31)"")",ArgumentError,1
915625503136,0,3288267839700944421,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,16.0,915625503136,1,3288267839700944421,"ArgumentError(""Day: 3288267839700944421 out of range (1:31)"")",ArgumentError,1
868858657191,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,27.0,868858657191,1,1,868858657191-01-01,Dates.Date,1
802991544246,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,25.0,802991544246,3,1,802991544246-03-01,Dates.Date,1
508129033628,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,27.0,508129033628,1,1,508129033628-01-01,Dates.Date,1
407863873543,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,407863873543,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
404621184663,0,29,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,27.0,404621184663,1,29,404621184663-01-29,Dates.Date,1
373876637338,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,25.0,373876637338,5,1,373876637338-05-01,Dates.Date,1
329467144837,0,-16728699705812,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,12.0,329467144837,1,-16728699705812,"ArgumentError(""Day: -16728699705812 out of range (1:31)"")",ArgumentError,1
184839994681,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,27.0,184839994681,1,2,184839994681-01-02,Dates.Date,1
144939445280,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,27.0,144939445280,1,7,144939445280-01-07,Dates.Date,1
125046985178,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,25.0,125046985178,5,1,125046985178-05-01,Dates.Date,1
101283985698,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,101283985698,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
92190951624,0,-3400752,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,92190951624,1,-3400752,"ArgumentError(""Day: -3400752 out of range (1:31)"")",ArgumentError,1
62496458975,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,28.0,62496458975,1,1,62496458975-01-01,Dates.Date,1
60101848526,0,12,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,28.0,60101848526,1,12,60101848526-01-12,Dates.Date,1
53046263608,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,28.0,53046263608,1,1,53046263608-01-01,Dates.Date,1
50489883283,3,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,50489883283,3,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
44525764140,0,22,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,28.0,44525764140,1,22,44525764140-01-22,Dates.Date,1
38336949327,0,-958,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,38336949327,1,-958,"ArgumentError(""Day: -958 out of range (1:31)"")",ArgumentError,1
36423380563,0,692141234340,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,36423380563,1,692141234340,"ArgumentError(""Day: 692141234340 out of range (1:31)"")",ArgumentError,1
36025291355,0,-7163,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,36025291355,1,-7163,"ArgumentError(""Day: -7163 out of range (1:31)"")",ArgumentError,1
34626773473,0,1023478081,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,34626773473,1,1023478081,"ArgumentError(""Day: 1023478081 out of range (1:31)"")",ArgumentError,1
28241925338,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,28241925338,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
17148000835,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,28.0,17148000835,1,1,17148000835-01-01,Dates.Date,1
16921791968,0,87496,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,16921791968,1,87496,"ArgumentError(""Day: 87496 out of range (1:31)"")",ArgumentError,1
16222268309,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,26.0,16222268309,1,1,16222268309-01-01,Dates.Date,1
15639745105,0,21350195,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,15639745105,1,21350195,"ArgumentError(""Day: 21350195 out of range (1:31)"")",ArgumentError,1
15505939953,-1,20,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,15505939953,0,20,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
13546422746,-1,47697543,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,13546422746,0,47697543,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
12727629367,12,19,12727629367-12-19,Dates.Date,29.0,12727629367,13,19,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
11323869250,9,-1,"ArgumentError(""Day: -1 out of range (1:30)"")",ArgumentError,1.0,11323869250,9,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,1
9188846669,0,12,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,29.0,9188846669,1,12,9188846669-01-12,Dates.Date,1
7484714177,7,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,27.0,7484714177,7,1,7484714177-07-01,Dates.Date,1
7023929180,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,7023929180,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
6527202294,0,35567,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,6527202294,1,35567,"ArgumentError(""Day: 35567 out of range (1:31)"")",ArgumentError,1
5564852469,0,1878,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,5564852469,1,1878,"ArgumentError(""Day: 1878 out of range (1:31)"")",ArgumentError,1
5289899560,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,29.0,5289899560,1,1,5289899560-01-01,Dates.Date,1
4285278918,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,4285278918,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
4024641862,0,3,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,29.0,4024641862,1,3,4024641862-01-03,Dates.Date,1
3590391735,12,58,"ArgumentError(""Day: 58 out of range (1:31)"")",ArgumentError,2.0,3590391735,13,58,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
3462687207,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,29.0,3462687207,1,1,3462687207-01-01,Dates.Date,1
3268757654,0,10899,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,3268757654,1,10899,"ArgumentError(""Day: 10899 out of range (1:31)"")",ArgumentError,1
3161563665,-1,-50,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,3161563665,0,-50,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
3070993031,0,8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,29.0,3070993031,1,8,3070993031-01-08,Dates.Date,1
2843978415,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,2843978415,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
2648718631,0,6992,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2648718631,1,6992,"ArgumentError(""Day: 6992 out of range (1:31)"")",ArgumentError,1
2641435803,0,-3316228,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,2641435803,1,-3316228,"ArgumentError(""Day: -3316228 out of range (1:31)"")",ArgumentError,1
2204228526,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,2204228526,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
2135662388,-1,10,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,2135662388,0,10,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
2127671431,0,2154703,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,2127671431,1,2154703,"ArgumentError(""Day: 2154703 out of range (1:31)"")",ArgumentError,1
